# Item_Value, Item_Weight
50,62
52,10
97,60
28,82
22,40
27,52
84,9
03,4
73,8
02,25
72,34
54,11
07,22
98,44
85,69
16,17
81,10
29,16
38,72
76,67
49,8
07,22
20,9
29,31
53,76
6,12
50,74
57,88
79,81
82,62
80,74
82,92
55,76
08,23
2,71
79,4
90,98
71,42
15,42
14,80
65,82
59,8
18,80
9,37
36,67
21,40
88,67
69,97
85,64
85,48
50,16
49,84
94,66
43,64
5,74
87,98
25,45
26,97
18,41
78,68
38,63
10,72
69,66
92,9
01,89
53,38
4,54
51,99
70,3
42,91
37,13
11,44
43,33
67,17
14,55
70,44
71,85
52,3
6,16
33,76
36,7
12,65
53,24
74,62
75,28
44,36
39,7
75,75
73,27
1,74
49,7
66,99
01,94
66,75
88,6
82,85
82,86
62,2
53,96
80,78
29,28
5,68
96,58
83,52
94,15
61,27
29,87
90,72
90,43
59,91
2,22
52,75
82,71
94,56
10,37
01,39
73,32
23,25
09,38
91,57
54,67
99,65
67,48
30,14
46,33
39,70
87,34
91,93
42,8
20,6
30,31
57,56
38,23
27,89
49,3
50,50
44,98
23,21
47,35
73,34
34,13
40,31
64,52
21,87
55,4
06,75
43,12
54,20
10,96
69,31
78,46
16,98
09,79
62,81
93,49
10,49
54,59
70,10
30,55
25,7
49,70
37,48
61,92
60,64
34,83
97,71
9,97
3,77
3,75
86,56
99,39
3,22
48,88
89,76
40,14
88,63
98,72
17,77
1,30
18,33
07,19
41,71
22,18
27,45
98,84
89,86
79,43
10,94
2,60
12,83
22,21
46,67
14,32
19,90
12,53
04,94
62,99
31,2
69,69
43,77
15,26
65,56
71,18
50,85
22,61
1,69
11,24
18,54
5,49
5,48
13,39
25,75
49,95
09,4
41,9
4,74
06,66
11,1
6,95
32,34
15,47
43,31
32,44
63,96
57,46
26,93
10,76
12,72
09,25
54,49
4,7
31,15
57,84
04,51
75,27
62,62
19,81
27,83
57,45
40,37
34,14
10,46
7,96
13,22
20,60
67,90
05,46
85,99
45,77
2,82
29,55
95,4
52,25
65,45
24,57
37,61
56,10
10,88
92,19
33,11
39,57
88,50
56,1
22,11
5,41
87,93
4,19
75,19
59,49
96,40
38,29
83,30
29,49
78,35
60,21
64,74
02,43
12,57
8,16
39,69
32,62
20,47
35,2
9,63
90,13
01,13
92,38
93,33
80,54
42,11
63,96
07,78
30,11
43,75
85,44
38,59
09,1
83,20
99,7
45,81
8,95
03,42
77,10
75,89
68,9
69,79
95,29
44,16
98,34
46,2
36,98
38,85
39,98
6,93
41,41
88,72
81,87
93,91
87,77
16,79
72,59
58,63
97,87
09,15
43,80
60,59
3,70
93,86
77,29
99,48
67,62
80,5
13,82
8,64
24,87
36,12
12,99
58,89
45,67
95,60
77,64
17,66
3,84
41,69
71,50
14,51
02,61
93,1
58,8
05,2
63,34
9,61
03,97
50,23
93,74
5,87
60,23
78,74
07,78
3,69
63,27
79,91
48,73
34,8
20,45
1,12
37,78
28,16
07,55
55,43
0,11
73,70
77,23
36,78
11,8
45,51
38,11
31,19
18,41
46,39
86,72
41,32
90,86
04,43
99,40
21,50
87,90
32,20
03,3
68,28
79,56
70,14
27,32
30,54
43,57
42,77
77,21
80,82
46,23
19,46
